,# unix_time,total_inputs,valid_covered_probes,all_covered_probes,variant
0,595,302640,2659,3384,results_mut
1,594,322223,1750,3384,results_mut
2,595,329003,2659,3385,results_mut
3,595,319479,2656,3385,results_mut
4,595,307506,3224,3386,results_mut
5,597,320682,2659,3385,results_mut
6,597,330185,1745,3385,results_mut
7,596,354357,1749,3386,results_mut
8,596,345074,2660,3385,results_mut
9,596,329174,3220,3385,results_mut
10,596,304945,3199,3326,results_nomut
11,596,288048,2638,3325,results_nomut
12,597,292996,2639,3321,results_nomut
13,597,293390,3204,3327,results_nomut
14,596,244145,3193,3317,results_nomut
15,596,266550,2634,3325,results_nomut
16,596,279429,3203,3319,results_nomut
17,595,274170,3199,3323,results_nomut
18,595,255428,1735,3327,results_nomut
19,597,266424,3204,3325,results_nomut
20,596,1619663,1314,3002,results_ascii
21,596,1856860,1315,3016,results_ascii
22,596,1888884,1277,2908,results_ascii
23,595,1731271,1324,2969,results_ascii
24,595,1836236,1291,2937,results_ascii
25,596,1536253,1321,2954,results_ascii
26,596,1785588,1309,2954,results_ascii
27,596,1931129,1303,2945,results_ascii
28,597,1839253,2212,2954,results_ascii
29,596,1745153,1291,2937,results_ascii
